CC;CC_Label
FHQ;E PWT HOUSING
DLC;REDUCER AND DIFFERENTIAL
K40;X IN ONE ELECTRIC
BTE;BATTERY TRAY ELECTRICAL VEHICLE
K35;ELECTRIC BATTERY COMPONENTS
H4F;RET BODYSIDE
P47;BODY & VEHICLE ASSEMBLY P47
H4B;CHANNEL
KB5;OUTSOURCING
RP1;UNDER FLOOR METAL
P46;BODY & VEHICLE ASSEMBLY P46
KB2;TROUBLE-SHOOTING AND RELIEF
P43;BODY & VEHICLE ASSEMBLY H42
KB4;SHEET UNITS
IDR;SHEET MULTIFUNCTION PARTS
QX1;SIDE STEP
3FB;FR BMPR-ARMATURE/STAY
KB1;PLASTICS AND COMPOSITIONS
P45;BODY & VEHICLE ASSY NON-PANEL
KB3;STAMPING
RPA;PROTR  DISCHARGE  INV
H4C;PTN SASH
RB1;ALLOY BMPR RR REINF
RB3;BODY SIDE STEP
P42;BODY & VEHICLE ASSEMBLY H42
RM1;UPPER BODY METAL
KA3;METAL SHUTTERS
RM2;DOOR METAL
KA2;PLASTIC SHUTTERS
RF1;FRAME
H4H;GUIDE RAIL
KA0;WINGS
T54;CABIN
KA1;DOOR FRAMES
H1A;BRACKETS
KA5;PROTECTION
XEM;TRUNK LOCK
T51;OTHER
XAA;DLOCK
XSB;OTHER RUBBER
H5B;DOOR PAD
K1J;LOCKS
XED;HOOD ROD
XEF;CHECK LINK
XDA;OS HANDLE
ZE1;WIPING LIGHTING
XCB;W/REG
XEB;HOOD LOCK
XFA;POWER SLIDE DOOR
XEE;CHARNIERES DE PORTES LATERALES
XEA;ARTICULATION DE CAPOT AV
XEK;ARTICULATION DE HAYON
XEG;IS HANDLE
XEJ;TORSION BAR
XRA;CABLE
XEN;ARTICULATION DE COFFRE
S1K;KEY SET
XEL;BD LOCK
XCA;DOOR MODULE
S1L;ESCL (ELECTRONIC STEERING COLUMN LOCK)
T0G;GLASS RUN DOOR LWR SASH
MC4;MISCELLANEOUS
K49;HEATED ATHERMIC WINDSCREEN(WINDSHIELD)
K41;OTHER BACK WINDOW
K45;MOULDED ATHERMIC HEATED BACK WINDOW
K47;WINDSCREEN(WINDSHIELD)
K42;OTHER WINDSCREEN
K54;MOULDED SIDE WINDOW
K50;GLASS FOR FIXED PANEL
K44;HEATED BACK WINDOW
K46;MOULDED HEATED BACK WINDOW
K43;OTHER DOOR WINDOW
K60;SEALING LEAF
K1C;VARIOUS SEALS
K0U;SEALING OF HOOD/TRUNK/REAR DOOR/MOULDING
TSG;GLASS RUN
T52;MIRROR
TSD;WEATHER STRIP
K56;SEALING OTHERS PLASTIC PARTS
K1D;VARIOUS SEALS / MOULDING
K1E;VARIOUS SEALS / FOAM
K0S;SEALING OF HOOD AND REAR DOOR
ZA3;MIRROR OTHER
TSE;SEALING SCREEN
T49;OTHER 3J
ZA1;OUTSIDE MIRROR
K1B;SEALING OF MOVEABLE WINDOW
K55;SEALING OTHERS FOAM PARTS
K0R;SEALING EXTRUDED DOOR SEAL
ZA2;INSIDE MIRROR
K1H;SEALING PANEL
K1A;SEALING OF FIXED WINDOW
K0W;SEALING OF SIDE DOOR HINGE/ EXTRUSION
TSF;STFNR
TST;TRUNK & B/DOOR SEAL
K0T;SEALING OF HOOD/TRUNK/REAR DOOR/EXTRUSION
K1F;VARIOUS SEALS / PLASTIC
K0V;SEALING OF HOOD/TRUNK/REAR DOOR/PLASTIC
K0Z;SEALING OF WINDSCREEN AND BACKLIGHT
K0Y;TRIM
K1G;VARIOUS SEALS /EXTRUSION
K0X;SEALING JOINT OF SIDE DOOR/MOULDING
TSB;WELT BODY SIDE
TSH;HOOD SEAL
T0D;OTHER DOOR STEAL
XCO;FOLDING ROOF
XBA;SUNROOF
THS;SUN ROOF DRAIN HOSE
T0R;OTHER RUBBER
XBB;SUNROOF FIX
K1I;SLIGHT AND SLIDE OPENING WINDOWS
QS1;GAS STAY
K33;SLIGHT AND SLIDE OPENING WINDOWS
ZB4;RR WIPPER ARM & BRADE
ZB2;FR WIPER ARM & BRADE
3LB;HID BLLAST
ZBY;OTHER
3LC;HEAD LAMP CLEANING
K12;RAIN AND LIGHT SENSOR
ZB3;RR WIPER DRIVE
ZB1;FR WIPER DRIVE
ZBZ;OTHER
ZD1;WASHING SYSTEM
ZC1;HORN
KCK;PP R LAF GF ED X
KCL;PP R LAF GF HLE X
KBT;PP L LAF EZ+ORGA HLE X
KB9;BRAZING/SOLDERING RINGS
KBA;TUBES WITHOUT WELDS
KBD;PP DIVERS
KC2;PP L LAF G+ORGA HLE Z
KCD;PP R LAF EZ HLE X
KBP;PP L LAF EZ HLE X
KBL;PP L LAF ED X
KBG;PP L LAC EZ HLE X
KCM;PP R LAF HLE X
KCS;FERROUS SCRAP
KCN;FLAT STRIP PRODUCTS
KCA;COLD-ROLLED SLIT FLAT STRIP PRODUCTS
KBI;PP L LAC G HLE X
KBB;WELDED TUBES
KC4;PP L LAF GF HLE X
KCE;PP R LAF EZ+ORGA ED X
KC7;PP R LAC EZ HLE X
KCT;FERROUS ALLOYS
KBK;COLD-ROLLED WIDE STRIP FLAT PRODUCTS
KCQ;PP R LAC ED X
KBU;PP L LAF EZ+ORGA HLE Z
KBJ;PP L LAC HLE X
KCO;FLAT STAINLESS STEEL PRODUCTS
KBX;PP L LAF G HLE X
K0E;STAINLESS EXHAUST TUBE
KCI;PP R LAF G+ORGA ED X
KCC;PP R LAF EZ ED X
KBH;PP L LAC G ED X
KBW;PP L LAF G ED Z
KBN;PP L LAF EZ ED X
KC0;PP L LAF G+ORGA ED Z
KBF;PP L LAC EZ ED X
KC3;PP L LAF GF ED X
KC6;PP R LAC EZ ED X
KBM;PP L LAF ED Z
KC8;PP R LAC G HLE X
KCG;PP R LAF G ED X
2F1;BAND STEEL
KBE;HOT-ROLLED WIDE STRIP FLAT PRODUCTS
KFA;ELECTRICAL STEEL
KBQ;PP L LAF EZ HLE Z
KC5;PP L LAF HLE X
KC9;PP R LAC HLE X
KC1;PP L LAF G+ORGA HLE X
KBV;PP L LAF G ED X
KCP;PP R LAC G ED X
2A1;STEEL TUBE
KBY;PP L LAF G HLE Z
KCB;PP R LAF ED X
KCJ;PP R LAF G+ORGA HLE X
KBR;PP L LAF EZ+ORGA ED X
KBZ;PP L LAF G+ORGA ED X
KBC;BLANKS
KCF;PP R LAF EZ+ORGA HLE X
KCR;NON TRANSVERSE 82
KBO;PP L LAF EZ ED Z
KBS;PP L LAF EZ+ORGA ED Z
T17;OTHER 6E
KCH;PP R LAF G HLE X
KCU;LONG STEEL PRODUCTS
2D1;WELDING MATERIAL
2C1;STAINLESS
3B1;COPPER
KB7;SECOND MELTING ALUMINIUM INGOTS
KB6;FIRST MELTING ALUMINIUM INGOTS
KB8;COPPER WIRE
KCX;ALUMINIUM APPEARANCE BLANKS
KCW;ALUMINIUM STRUCTURE COILS
2N1;ALUMINUM
KCY;ALUMINIUM STRUCTURE BLANKS
2P1;ALUMINUM SHEET EXTRUSION
KCV;ALUMINIUM APPEARANCE COILS
2X1;PLASTICS
5B1;CASTING
VAE;ADHESIVE ELEMENTS
2H1;COKE
2G1;CASTING MATERIAL
VMP;PRECIOUS MATERIALS
